reviewid,reviewtext,sentiment
741,"【故宫简介^_^】故宫又叫紫禁城，中国保存最完整，规模最大的木质结构古建筑群，是世界五大宫之首。故宫分为“外朝”和“内庭”。外朝以太和殿，中和殿，保和殿为中心。是帝皇行使权利，举行庆典的地方。内庭以乾清宫，交泰殿，坤宁宫为中心，以及东西两侧的东六宫和西六宫，也就是俗称的“三宫六院”。距今已经有六百多年的历史了。故宫内的珍贵文物约占全国文物总数的六分之一。【关于交通^_^】故宫位于北京的正中心，所以可以通过公交，地铁等方式到达(ps:不推荐驾车，因为故宫不设有停车场，附近的停车场比较远。)【门票问题^_^】门票 淡季为40元/人（不包括珍宝馆、钟表馆）,旺季为60元/人（不包括珍宝馆、钟表馆）,珍宝馆（宁寿宫区、戏曲馆、石鼓馆）：10元/人；,钟表馆（奉先殿区）：10元/人。门票优惠政策：（所有优惠政策均不含珍宝馆、钟表馆）,学生证购买学生票，每张20元/人，老年人凭有效证件，门票半价优惠，离休干部凭离休证免费参观，残疾人凭残疾人证件免费参观。(推荐淡季前往，门票价格低，人比旺季少好多，由于故宫每天有人数限制，在网上买票的直接刷身份证就可以进入)。【关键来啦^_^】1:故宫太大，推荐租一个电子讲解器，20元每次，不需要押金。不租的话可以下载一个故宫APP，每个景点都有详细的介绍。2:故宫没有卖小吃的地方，来之前带好充足的食品和水。3:游览故宫一般一上午的时间就够了，不想看太多的人的话请避开人流高峰。(推荐上午去，比较凉爽)。4:从故宫出去可以直接去景山公园，两块钱的门票，登上顶去俯瞰整个故宫，感受故宫的雄伟。5:买票的时候会有人发各种旅游的小广告，不用理会。         故宫，每个人都值得去过一次的地方，没有之一。北京，从你的全世界路过。故宫，从你的全北京路过。",2
742,"故宫就是以前的紫禁城，明清时期，就算住在北京城里的人，也不见得有机会可以踏进紫禁城的大门，还好现在，我们只要买了门票就可以来到这里参观。,带儿子去北京，故宫是第一站。,交通：北京的地铁网四通八达，我们乘坐火车到北京西站，然后，买上地铁票乘坐9号地铁，在军事博物馆站转乘1号地铁，到天安门东下车。用时不到半个小时，真是快呀。回去的时候乘坐的公交车，从故宫北门到北京西站，整整走了一个多小时呢。,门票：成人票价60元，儿子票价30元，半价嘛，11岁的他没有学生证，售票人员也没有为难。,故宫旅游：最好租个讲解器，这样可以更详细地游览故宫，我们没买，只得跟着别的旅游团蹭导游。我们是从端门进入故宫，游览午门，太和殿，后宫和御花园等，走马观花一般，主要是我们去的时候是周末，人真是太多了，好多外国人，还有我国少数民族的朋友们，都来这里参观。,吃：故宫里面有卖饭的，只是价格太贵了，价格和机场的餐厅可以媲美。所以我们就没在里面吃。,纪念品：故宫内有卖纪念品的，做工很是精美，价格当然也是蛮高的。,卫生间：故宫里面有卫生间，非常干净，而且还有供游客休息的椅子。,特色：这里可以穿上宫装拍照，男女老幼都有，好像是30元一次，人很多，衣服都是穿了放那，下次人去了再穿，觉得卫生条件一般般。",2
743,"清明节去的北京，一直想配长辈去首都，这个城市毕竟和别的城市不同，他沉甸甸的历史感，像静静的守护者中华民族，一早我们就赶到故宫，小长假人挺多，但是国民素质还是很好的，排队，行走的非常流畅，我和家人一起端详着这个地方，我去之前了解了一下。,故宫对中国人来说已经成为一个符号，这座曾经居住过明清两代共24位皇帝的紫禁城在国人心中不仅是皇权的象征，也是祖国辉煌艺术的代表。这里曾经珍藏上百万件珍贵的文物，涉及绘画、陶瓷、青铜器、明清工艺品、铭刻、玩具、文房四宝等多个领域，每一件拿出来都是国人的骄傲，要是说到故宫最大的艺术成就，莫过于建筑，这片无与伦比的古代建筑杰作是世界现存最大、最完整的木质结构的古建筑群。全木结构、黄琉璃瓦、红色宫墙、青白石底座，以及金碧辉煌的彩画，无不让人目眩神驰，叹为观止。若加上世界五大宫之一（北京故宫、法国凡尔赛宫、英国白金汉宫、美国白宫、俄罗斯克里姆林宫）的名誉，那就更显得高大上了。,小贴士：去故宫可以在去哪儿上买张电子票，非常方便，刷身份证就可以进去了，不用排队买票，再租一个讲解器，20元，这样也能更好的了解这座宫殿，了解历史，也是了解自己，去的时候带点干粮，故宫要花上大半天的时间，慢慢的欣赏，我很喜欢这，有机会还回去的。",2
744,"角楼，顾名思义，就是盖在紫禁城四个角的楼，确实如此，故宫有4个角楼，但我们一般看到的两个是东北角，西北角，这也两个，也就神武门出来后往左或往右走，两边各有一个的。,不同于其它紫禁城里的建筑，这些角楼，依然是明代的建筑，只是偶尔小修葺一下，所以依然是当年的风采,角楼是紫禁城城池的一部分，它与城垣、城门楼及护城河同属于皇宫的防卫设施，在城墙这上，有观察敌情的作用。,角楼被很多游客认为是紫禁城里最美的建筑，因为它不仅造型繁复而精美，还是一座九梁十八柱七十二条脊的角楼，建筑艺术之高，堪称中国古代建筑的经典，每天都有大批发烧友在这里守候着，当角楼影子映在护城河里，顿时感觉到这皇宫的威严与大气，而且第一种天气有不同的感觉，难怪发烧友这么爱它了。",2
745,紫禁城最美的一角！这个角楼可能很多游客都找不到，其实位置还是挺好找的，当你参观完故宫，从神武门出来后，过了桥，再往左边走大约400米就到达了，但其实当你向左走大约200米就能看到了。也可以直接乘坐公交101路; 103路; 109路; 124路; 685路等线路在故宫公交站下车后，往西边走大约300米就到达了。别看这是一个小小的角楼，但其实在北京也是相当出名的，特别是一些摄影爱好者，特别喜欢到这里设置位置拍照。也因此吸引了很多游客慕名而来一看这个角楼的究竟。我觉得拍摄这个角楼最美丽的角度就是正对着角楼边上的角，然后将两边的树木，蓝天白云和护城河融为一体，整个画面真的很美，很可惜当时只带了手机拍摄，下次一定要拿一个专业摄像机，再选一个晴朗的天气给这个美丽的角楼拍摄一套更美的写真。,2
746,"故宫是中国的象征性旅游景点，也是国内外游客向往的旅游景点。每当节假日都会报道故宫的游客数量，所以去故宫旅游，一定要错开游览的高峰，故宫的门票费用分淡季和旺季，淡季价格为40元，旺季的价格为60元，淡季的时间为11月1日到第二年的3月31日，其余时间都是旺季。不过这个门票里面不包含珍宝馆和钟表馆的景点费，珍宝馆和钟表馆的景点费为10元，当然，珍宝馆和钟表馆可以选择去或者不去的。故宫的雄伟难以用言语来表达，正因为雄伟，壮观，所以需要花时间去游览的，我个人觉得在这里可以游览大半天，因为故宫内有很多地方值得参观，首先还是要制定游览线路，我选择的线路是从午门到太和门，再到乾清宫，慈宁宫，养心殿，御花园，很多宫或者门一下子也说不齐了，最后去故宫东面的珍宝馆，因为故宫里面有很多值得欣赏的景点。如果不是事先做好线路计划的游客，可以选择导游讲解服务。,其余还有大大小小的宫殿，有很多宫殿我都是从“还珠格格”里面闻得，例如慈宁宫（老佛爷住的地方）、坤宁宫（皇后住的地方)等等，游客可以一个个参观，总之在故宫花上1天时间来参观也不为过。",2
747,"去故宫坐地铁到天安门东，步行到故宫10几分钟的样子。,一直认为北京的景点门票是全国最低价。故宫旺季60，淡季40。,春节的最后一天假期，故宫的游人乌泱泱的到处都是。,想拍张没人的照片都要各种找角度。,阔别7年的故宫，已经开始变老的自己。,一路走走停停，碧蓝的天映衬着巍峨又神秘的红墙黄瓦，在漫长历史里有多少人是在这座宫城里留下了传说。,故宫的文创很值得买，适合做手信。,故宫内也有零食和饮料卖，价格合理，不需要外面背来。,另，故宫早餐的东西又贵又难吃。,慈宁宫、乾清宫、坤宁宫、一个个宫殿逛下去也是很耗费体力的。如果每个宫殿都逛遍，绝对需要一整天的时间。,在7年前的同一个位置，拍一张照片。有物是人非的淡淡感慨。",2
748,"现在的故宫都是实名制购票了，网上可以提前购票很方便，现场也可以买。来的时候是淡季的清晨，人不多，午门外也不用排队就检票入场了。最近看了故宫博物院的纪录片，对这里有了重新的认识。,如果不看介绍还真不知道最早的建造者是明成祖朱棣,想不想站在这里号令三军。,现在很多的地方还是禁止游客进入的，整个故宫真正开放的面积也有限，很多地方还是禁行。,站在太和殿门前发呆遥想几百年前穿越的场景也是不错的。,这些石头应该都是汉白玉的。,屋脊上神兽，数量8~10个每个都有讲。,故宫的排水系统非常出色，当年北京大雨，这里缺一点没有影响，感叹古人的智慧。,被游人摸的发亮的铜兽。,慈溪太后的后花园，外面不管多么喧闹，里面依然安静悠闲。,故宫的角楼估计很多人都来拍过，清晨和傍晚最出效果。否则太逆光了，当然也要赶上北京蓝。,景山公园可以俯瞰整个故宫",2
749,故宫 中国明清两代的皇宫 24位皇帝在此生活过 又有数不清的妙龄女子 进入到这个深宫 9999.5个房间 凡事不讲究太满的那个朝代 又有多少人在这些房间生活过 近些年清宫剧的热播 也激发更多人去看看这座紫禁城 这座留给世人的故宫博物院 九零后长大的孩子 每年夏天最爱看的肯定就是<还珠格格> 这部剧每年都会在暑期档播出 宫廷建筑 清宫历史 孩子们还开着玩笑 都演到紫薇被针扎了 咱们还不放假 故宫只有一个入口从午门进去 南北走向的浏览宫殿 故宫的历史感足够深厚 也是家长带着孩子增长知识的好教材 东六宫 西六宫 是太后和妃子们的寝宫  越来越多的人络绎不绝的参观故宫 这导致 很多宫殿不再对在开放 一样的红墙建筑 长时间参观也会有疲劳感 御花园没有觉得很大 也不知道是自己参观的不透彻  租个20元的讲解器 随着自己的步伐 每到一处给你讲解 不用走马观花 很好的了解这座紫禁城 网上订票可以省去很多时间 刷身份证进入 一路从南向北的路线 最后从神武门出来 我看到了清宫戏里的储秀宫  错过了皇上一怒之下把妃子打入冷宫的宫殿 没有看到是不是很像还珠格格的漱芳斋的建筑 总会对参观留有遗憾 没有遗憾 怎么会有下次的见面,2
750,"一、出发前准备：提前联系好旅游团，带好自拍杆，穿运动鞋，出门前查好天气，带好衣服，因为就是九月，早上晚上可能会凉一些。,二、旅行路线：一定要问清，旅行团的在北京的旅游路线，自己做好准备，把每一天的形成都要弄清楚，旅游签可以查一查，景点的相关介绍。以免盲目的游玩。,三、故宫景点介绍：故宫，旧称紫禁城，是中国规模最大、保存最完好的皇家建筑。这是我第一次去，导游会带着你从南往北，沿着中轴线游览。故宫虽然看上去，稍稍的旧了一些，但是总体上还是很恢弘大气的，它主要是以对称性分布的，从南向北主要有午门、太和门、太和殿、中和殿、保和殿、乾清宫、交泰殿、坤宁宫、御花园、神武门。,四、门票价格：旺季门票60元，,学生票20元，,淡季40元，,珍宝馆（10元）和钟表馆（10元）另收费,五、开放时间：早上8：30，16:30停止售票，,六、特色价值：在故宫里，可以更好的体会，明清文化，这里所展出的每一个馆，每一件瓦片都具有极高的历史价值，是古代人留给我们无价的宝藏，我们再次走到这里的时候，可以好好的拼读，古代人在设计他的独特意义。个人觉得阳光明媚的天气，亦或是雪花飘落的季节是游览故宫的最佳时节。,七、小建议：1、故宫全年实行周一下午闭馆。,2、最好跟团走，因为他们可以讲解的更详细一些。,3、参观的时候尽量不要大声的喧哗，打闹，净量保持安静。,4、故宫是实名制购票的，所以大家要带好身份证，还有带够钱啊。",2
751,虽然故宫的大名几乎无人不知，但是当我亲自来的时候，内心还是有点小紧张的，怀着忐忑的心情来到了售票处，虽然很多窗口，但是每个窗口的人都非常多，买票需要出示身份证，60元。检票处也是人山人海的，好不容易进去了，看到的还是人山人海。故宫沿着中轴线建筑的，主体建筑也就是三大殿（太和殿，中和殿，保和殿），非常的雄伟壮观，想想古时候的帝王所创造出来的这一切，是多么的不容易，东六宫和西六宫在左右两侧。现在故宫还是有很多的地方没有对外开放，东六宫基本都开放了，而西六宫有几个地方做了珍宝馆和钟表馆，需要单独收费，都是10元。里面展览了故宫里面的奇珍异宝，建议大家进去参观一下，可以见识一下文物。故宫里没有买吃的地方，但是有售卖纪念品的店铺，价钱偏高，其实故宫外面也有买的，便宜的多。故宫最后是御花园，以前看电视剧里面感觉御花园好大，但是来到了故宫才发现，原来真正的御花园是不大的，但是里面景色很美，就是人太多了，想拍无人的照片那是难上加难。故宫参观是不走回头路的，午门进神武门出，神武门出来之后对面就是景山公园，几块钱门票。故宫很贴心的一点，如果你带着行李箱来参观很不方便，又不是同一个门进出，寄存不了，所以可以在午门托运行李，之后在神武门取，这个很赞。出了神武门有一些饭店可以吃饭的，价钱有些小贵。住的地方还是很多的，去南锣鼓巷也不是很远。建议游玩时间在4小时左右。,2
752,这家店就在故宫景区内，属于典型的景点餐厅。我去故宫玩的时候吃过一次，感觉味道还是不错的。主要经营的是盖饭，我要的是土豆牛肉盖饭，牛肉块还是有的，炖的也算是比较烂。而且整体味道还不错，牛肉汤很鲜美。我妈妈点了份牛肉面，觉得一般，面条不是很入味。由于是在景区内，所以价格自然不便宜，一份都得30元。但个人还是这比吃些面包好得多！,2
753,"来故宫的路上还是有些赶的，早上从中山公园（3元）穿过，因为是预约的门票（联票80元），在再入口处租一份讲解器，一幅手绘地图，那么8小时的故宫之旅便开始了。,故宫，作为当时的重点中的重点工程，施工动用全国之力造就这番盛世的景象。,这里在进入故宫的朋友们有很多都是严格按照中轴线前往的，这样既省时又能看到精华部分，如果不是赶路人，我想说的事大可可以从旁边的文华殿或武英殿开始，从两侧到中间，尤其是在下午4点左右返场回来，你将“拥有”一座故宫，这时候的人们都陆续退场。,有两处两点需要提及，一处便是钟表馆和珍品馆，这绝对是值得你花钱排队观赏的，其中的展品绝非一般省博能够见到，尽显皇家气派。另一点便是东西十二宫，这里以御花园为中心，可以由西到东，也可以反过来，在这里要提及的是其中的殿㡰并不是很大，除去慈宁宫与宁寿宫，其他可以根据时令的展馆安排来规划时间。,今天的故宫里没了皇上坐龙廷。没了太监满院走，那种吓人的威慑力也就小多了。但是，站在一座座巍峨的宫殿前，环顾光秃秃的院子，你还是可以想见到当年明清时期皇家的气派，离开故宫时，我最多感叹的便是皇家毫不吝惜成本，无论是正式的殿堂，还是小到拐角处的过道，其房顶小兽都严格按照等级来雕饰，以及那一件件珍品，简直很难能够让人想象到当时富丽堂皇的景象。",2
754,"观赏角楼，拍摄的最好时间是在清晨日出时和傍晚日落时，尤其是在冬季，日出和日落的时间非常不错，可提前到地方占位置，不过很多人冬季会去景山公园拍日出和日落，可以自行选择；如果时间充裕，建议还是不要错过角楼的日出和日落！不过想要拍日出的话，最好是住宿在周边，尤其是夏季，日出时间基本在5:00之后，住得远了非常不方便，冬季会稍微好点，日出差不多基本在7:00之后，但住外环的朋友还是会比较赶，因为拍摄的人会比较多，需要提前到角楼占机位！,故宫角楼是紫禁城标志性建筑之一，拍摄地位于景山前街、五四大街、北池子大街交叉口，这侧位于紫禁城东北角，还有西北角也是一处很好的拍摄地点；东北角的相对来说，位置更佳，人会更多，尤其是傍晚日落期间，基本都会在东北角这一侧，有些老摄影也会在拍完东北角后，去西北角碰碰运气，运气好也能拍到好片子！看当天的天气决定！,基本每天到傍晚这两处就会聚集着当地的摄影爱好者和部分旅行者，喜欢摄影的小伙伴一定不要错过这个点，除了拍照，还可以跟当地的爱好者聊天，唠嗑，听很多有趣的故事，也可以请教摄影问题，尤其是那些几乎每天在拍摄的大爷，一定会不吝指导；拍摄结束后，还可以顺道拍摄景山的夜景。,拍摄道具的话，如果没带单反之类，其实无所谓，直接手机拍摄就可以，调节好曝光度，照样可以出好片；手机拍摄的话，还可以尝试延迟摄影，效果也非常不错，但需要有固定道具！,如果有带单反建议带三脚架或者小型能随身携带的架子，这样出片的效果会更好，直接手持拍摄效果还是略有不足；然后如果冬季拍摄，记得做好保暖工作，北京的昼夜温差还是很大的，一定要多穿点衣服，不然温度下来后很难熬。最后注意下，冬季拍摄的话，有时候护城河是结冰状态或还没完全解冻，无法拍摄角楼水中完整的倒影，如果在意的，可以自行关注下天气，夏天就不需要有这样的担忧！,除了喜欢拍照的，喜欢人文的，也可以来这边，这里玩摄影的老爷子，几乎在北京生活了一辈子，老北京的历史都是了然于心，各种有关京城、有关故宫的趣事，未公开的小道消息，实在是太丰富，觉得比你搜百度，看攻略来的有趣多了，也有很多守了很多年的老摄影，有很多精彩的照片可以在他们的手机、相机里面找到，然后分享给你看，真的很神奇！,最后讲两点个人的心得：一是如果拍夜景，最好是能在月圆的时候去拍，这样圆月、角楼相映成辉，会非常漂亮，还有就是碰上故宫亮灯的时候，不过这种机会可遇不可求，大家可提前关注相关信息，我这次去，反正是一样都没碰上！二是拍日出、日落，云彩很关键，云彩的多少直接影响照片的效果，云彩多的时候才有更大机会出好片，这是当地拍了十来年的摄影爱好者得出的一点心得，我这次运气一般，天气虽然还可以，但云彩只有一点点，晚霞的效果就一般般！",2
755,"去故宫前一天，我们在官网上预订了电子门票，这样可以大大免去在景区排队买门票的时间。,原本打算要早点起来逛故宫，但还是睡过了头，从红都实佳宾馆（东城区朝内南小街史家胡同9号（朝阳门南小街与史家胡同交叉口））出发，乘坐地铁5号线转1号线到达天安门广场，现在进入故宫一律从午门进，神武门出，这样也挺好，在进故宫前顺便把天安门广场兜了，出神武门后可以直接去景山公园。11点钟下地铁，这时候天安门广场的游人已经很多了，到达故宫后在门口租了电子导游器开始游玩。我觉得去故宫前最好了解一下故宫的历史资料，可以先看纪录片《故宫100》，否则你会感到每个宫都大同小异，而实则在故宫内有着太多的门道太多的典故太多的历史。到故宫游玩时可以边蹭团边听电子导游讲解，特别是前庭，导游讲述的比较多，而电子导游器讲解的少，后宫后花园听电子导游讲解就差不多了。由于进故宫的时间晚，而且兜的比较慢，出故宫的时候已经17点左右，天气不好，灰蒙蒙，再加上前面两天的行程分别是长城和颐和园，腿已经很累，没有体力到景山公园看故宫的全景。景山公园看故宫全景推荐是在夕阳西下时候去看，阳光打在城楼上金灿灿，很漂亮。到北京玩需要很好的体力，长城、故宫、颐和园都很大，可以搓开安排，而我们把这三个大的景点放在一块，所以爬完长城后，故宫和颐和园都感到很疲惫。出故宫后直接坐车到南锣鼓巷去逛逛并且吃晚饭。在南锣鼓巷里买了点小东西，2个人看到好吃的就买来吃，一般都买1人份，分着吃。",2
756,"故宫博物院，又称紫禁城，紫禁城总体上可分为南边的前朝（外朝）和北边的后寝（内廷）两大部分，,是封建王朝的历史遗物，不仅地理位置重要，处在国都的中轴线上，历史位置也不容小觑，是明清两代的帝皇的居住所，新中国成立后就成为了展示中国历史文化的博物院了，现在主要展示的宫殿区有：城池区、前三殿区、后三宫区、文华殿区、武英殿区、养心殿区、斋宫区、奉先殿区、东六宫区、西六宫区、御花园区和宁寿宫区，展品数量众多且多为国宝级的文物，适合用一天去游览。在中国人心中，个生当中北京是一定要来一次的，到了北京一定要去故宫一趟了，不仅在中国，在国际上，故宫也是中国的一张名片，所以这里每天都是游客如织的景象。为了有更好的体验，最好错峰出行，尽早到，最好租个讲解器，,附【故宫开放时间表】：,每年4月1日至10月31日采用旺季开放时间（旺季门票60，学生20）,开始售票、开放进馆时间：　　　8:30,止票时间（含钟表馆、珍宝馆）：16:00,停止入馆时间：　　　　　　　　16:10,清场时间：　　　　　　　　　　17:00,每年11月1日至来年3月31日采用淡季开放时间（淡季门票40，学生20）,开始售票、开放进馆时间：　　　8:30,止票时间（含钟表馆、珍宝馆）：15:30,停止入馆时间：　　　　　　　　15:40,清场时间：　　　　　　　　　　16:30,PS：珍宝馆、钟表馆需另购票：每张10元/人,【交通】故宫交通非常便利，最好到达以下两个站,天安门东,停靠的车辆： 1、120、2、52、59、82、99、夜1、夜2、夜17路、观光1线、观光2线公共汽车和1号地铁线,天安门西,停靠的车辆： 1、5、52、99、夜1路、观光1线、观光2线公共汽车和1号地铁线",2
757,神武门，作为故宫博物院的后门，旧称玄武门，因为从旧说里的方位来说，左青龙，右白虎，前朱雀，后玄武，所以称玄武，但是后来避讳康熙“玄烨”的玄而改名了神武门，在故宫的北方，穿过御花园就到了，游览故宫博物院时，一般是午门进，神武门出，在皇宫里，规矩礼法甚多，所以这后门的神武门不及午门宏伟，但也不失庄严与皇家气派，使用也是大有讲究的，据说是内宫妃子进出皇宫的地方，而这里也是妃子门第一次进入皇宫所过的门，选的秀女们就是从这个神武门列队进入皇宫的，很多人一进，基本就是一生都在这里度过了。,2
758,"整个北京城以故宫为中心点，以环状辐射开来。是初到北京，必游景点之一。坐地铁到天安门东站或西站均可。,门票60元，周一闭馆。平日开放至下午4点多。每天游客都很多。建议提早出行。,售票处有导游器可以租用，仅需20元，到相应位置就会有感应，自动播放。有多个版本可供选择。个人比较喜欢“王刚版本”。,根据地图，游客必须从午门进，有三条线路可以游览-东，中，西，最后必须在神武门出来。,个人经验，虽然很多宫殿没有开放，但要仔细游完所有地方，一天也不够。所以建议参观自己比较感兴趣的。,故宫建于永乐年间（朱棣任皇帝时期），自朱棣迁都到北京后，一直作为皇家居住用地。成为紫禁城，成为很多人曾经魂断的地方。1925年才更名为故宫。,整个建筑群，秉承了皇家黄瓦红墙的装修风格。庄严而大气。很多房子屋顶有10只琉璃釉面小兽，它们分别是龙、凤、狮子、天马、海马、狻猊、押鱼、獬豸、斗牛、行什。龙凤代表了祥瑞，以及当时最高的皇权。也只有紫禁城能有。,除了皇帝住的乾清宫和办公的太和殿等地方，其他地方都大同小异。只是根据管理方的安排，每个宫殿可能有不同的展览，譬如皇家人使用的器具，把玩的古玩，珍藏的画籍等。所以这里全名为“故宫博物馆”。,御花园并没有电视上演的那么大，还没有和珅的恭王府的花园大。,天冷的时候，走累了可以在里面的游客中心休息，有吃有喝有暖气。消费稍微高一点，但可以接受。",2
759,"故宫在北京最中心的位置，是明清两代皇帝的宫邸，第一次去是2009年，那时候走马观花，借了个导读机，但是没有留下什么深刻的印象。今年十月长假以后再去，年龄渐长，感受也比以往深了。,我们提前一天的晚上在网上订好票，【旺季】60元一个人【淡季】40元一人，进故宫刷身份证就可以进去了。进去以后，在午门处可以借导读机或者找导游，导读机的价格是20块钱一只。导游的话，带你走中轴线走到御花园处，要150块钱一个导游。我们最后找了一个，还价还到100。感觉这个价格还有水分，不过我们找的是个年纪比较大的，看他也不容易，所以也没高兴再继续。跟着导游走，从午门沿中轴线走到御花园大概需要2个小时。这个时候导游就撤了，如果有时间，可以再慢慢逛两边的宫邸。我们还去了珍宝馆和钟表馆，需要额外买票10元一人，最晚进入时间是4点，我们去的太晚了，所以只能走马观花的一看。,相比较其他地方的景点而言，故宫60块钱门票绝对收的是良心价。而且在午门处可以存放包裹，下午五点可以在神武门提自己的包，还是非常人性化的，不用再走回头路了。,我们慢慢的步行在故宫中，对历史故事会有更深刻的感受，再看着以前的建筑，很多都已经翻新过了，门框上有些裸露在外面的金属，因为被游客摸得褪了色，有的木窗也是因为游客的不文明行为，变得残破不堪，希望大家能文明旅游，把这么精美的故宫流传下去。,当年李莲英居住的地方已经变成了一家饼店，45块钱一盒，是我们找的那个导游带我们进去的，买了两盒，回头一吃，真不好吃。,故宫还有很多纪念品店，都是做的很精致的，而且外面没得卖，比如一些皇帝主题的手机壳之类的，而且价格也不贵，值得一买。,故宫非常值得一来，而且一次都体会不了故宫的美和精妙。从故宫神武门出来以后，还可以去对面的景山，登高，俯瞰故宫的全貌。",2
760,"带着孩子去北京，故宫还是一定要去一下的，去看看古老的皇城。,去故宫的话，最好的交通还是地铁，做地铁到天安门东站下，出站后右转，就可以看到去故宫的在排队了，因为去的人真的很多，哪怕我们去的那天是下雨天，人也还是不少。排队的地方，进去之前是需要安检的，然后还要看一下身份证。过了后，还是要走很多路的，要走过天安门，一直往前走才是故宫。,进入故宫要买门票，门票价格倒很合理，60元一个人，小孩身高没有到1.2米，是不需要买票的。我们是在网上提前买好门票，所以进去就更方便了，直接刷身份证就可以了。如果到了再买门票的话，因为人多，还要排队，不是太方便。建议大家还是先买好比较好，把节省下来的时间用在里面观赏。,故宫里面很大，至少也得玩上半天左右的时间，所以大家去故宫游玩的话，要把握好时间哦。如果你要好好欣赏的话，好几天也看不完哦。,另外，有一个需要注意一下，因为故宫每周一是闭关的，所以大家周一就不要去了，去了也参观不了。此外，我们去的那天正好是下雨天，如果你是带着孩子去的话，最好找一个天气好点的日子去，因为下雨天去实在是不方便，故宫大部分地方，下雨天都是要打伞的，不像南方，很多地方不打伞也可以走。,整个故宫给人感觉很大气，非常值得来参观一下。",2
761,"【前往北京故宫前的遭遇】来过北京2次，一次是匆匆出差，当天来回，另一回特地来北京旅游，却让我记忆太深刻，来北京前一天，包包被人偷了，还好火车票什么的都还没取，还是顺利去了北京，但是去北京的火车却整整晚点了十几个小时，原来13个小时的北京之旅变成了27个小时，在火车上痛不欲生，主要是前一天火包包被偷，一时没什么现金，在火车上饥饿难挨啊！来到北京第一个景点是故宫，故宫是世界上现存最大最完整的古代宫殿建筑群，以前在电视中经常看到，终于看到真实的建筑，非常惊喜，但是人实在太多了，排队的买票和进去的人真的是人山人海，进去后，看到这些建筑上华丽的琉璃瓦、朱红墙依旧，森严的高墙，非常有气势，很是震撼，整个故宫很大，有一些宫殿是没有对外开放是，但是全程参观下来也得3-4个小时，还是非常吃力的，比较耗体力。【建议】由于故宫历史文化深厚，景点比较多，如果是自由行的话建议借个导览机按顺序一个一个点走，如果自己一个人走马光花的话就太没意思了。【位置】故宫是在北京的中心地段，就在天安门广场对面的位置，来这里要通过走地下通道的，具体位置是在东城区景山前街4号。【交通】这里的交通很便利，可以乘坐北京的地铁1号线在天安门东/天安门西站下车。故宫博物院午门（南门）是入口，故宫博物院神武门（北门）是出口。租电子讲解仪是20元/次。【关于故宫】故宫是明清两代皇帝所在的宫殿，所以每天来参观的人都很多，旺季的时候这里会限制进去的人数，也是为了保护这里的文化，由于这个景点面积很大，建议可以分为三条线路来参观比较合理一些。【东路】：从午门→太和门三大殿→乾清门→东六宫→宁寿宫→珍妃井，【西路】：从午门→太和门三大殿→乾清门→西六宫→慈宁宫→养心殿→漱芳斋 ，【中轴线】：从午门→太和门三大殿→乾清门→乾清宫→交泰殿→坤宁宫→御花园→神武门（从神武门可以进入景山公园）。,来北京不来故宫等于没来，虽然来这里很遭罪，但是不来又让自己充满遗憾。",2
762,北京故宫，简直可以用人山人海形容，不用排队就进门，真是超开心的，强烈推荐买电子票去故宫，不然排队要热死的，进去也没兴致玩了！给孩子买的儿童票，但是我们没带户口本，检票的时候本想说孩子的身份证号码验证，工作人员直接让孩子进去了。北京对剛超120的小孩门票把关不严。不用排队直接可以进去。到那里感觉就是走马观花了，传说龙椅什么的，皇家东西气运极大，普通老百姓承受不起。有时间有精力的朋友，建议租个自动讲解器，比什么都不懂的观看要好得多呢。不需要押金，20块钱一个人，入口借出来，出口可以还。讲解器自带GPRS。紫禁城宫殿的金色琉璃瓦顶高低错落，好似京城中央的一片宫殿之海。黄色的瓦，红色的墙，里面有很多例如仙鹤、神龟这些代表长寿的仙物。但是慈宁宫啊，淑芳斋都是不对外开放的！不过呢故宫很多外墙都被重修的很明显。,2
763,"【概述】故宫据说有9999间房寓意长长久久，故宫建造比例9:5寓意皇帝都是九五之尊，凡此种种都有讲究，所以游故宫最好请个讲解。故宫的整体格局非常对称，午门进入后，中轴线上依次是太和殿、中和殿、保和殿，然后从乾清门进入乾清宫、交泰殿、坤宁宫，最后坤宁门出去就是御花园了。中轴线两侧还有许多妃嫔的宫殿，老佛爷的慈宁宫，太子的承乾宫，秀女的储秀宫等等。看到一宫殿，脑子里就会跑出一群人。,【门票】旺季60元，淡季40元，旺季是4月初到10月底，有半价票，符合优惠条件即可购买。,【位置交通】故宫位于北京市东城区景山前街4号，故宫有四个门，但是午门是唯一的入口处，神武门和东华门都是出口，所以一定要记住了。乘坐公交，天安门东站、天安门西站下车都可以，公交线路特别多，专1、专2和地铁1号线都到。,PS:2015年杨澜访谈录有一期《故宫Style》采访的是故宫博物院的现任单院长，真心感觉维护保养故宫的不易防火防窃防损坏，所以，大家一起爱惜吧！同时也感叹故宫工作人员的伟大，把阳春白雪般、遥不可及的高大上故宫展品研发出品各种APP、游戏和文创产品亲民化，点赞！",2
